Month,Open,High,Low,Close,Sector ID
Jan-15,9853.46,10251.52,9467.56,10143.2,8
Feb-15,10143.89,10408.08,9389.82,9685.68,8
Mar-15,9755.79,9990.29,9043.59,9311.95,8
Apr-15,9315.21,9948.46,9104.98,9203.45,8
May-15,9263.78,9673.5,9032.07,9643.21,8
Jun-15,9641.39,10032.51,9323.88,9859.23,8
Jul-15,9893.6,10349.33,9697.77,9902.17,8
Aug-15,9935.32,10066.32,8243.32,8878,8
Sep-15,8885.57,8888.27,8389.05,8694.68,8
Oct-15,8743.63,9434.59,8681.13,9065.9,8
Nov-15,9071.94,9373.38,8710.2,9328.39,8
Dec-15,9348.22,9576.31,8874.76,9555.61,8
Jan-16,9559.43,9802.05,8784.39,9258.06,8
Feb-16,9282.78,9293.93,7987.26,8214.24,8
Mar-16,8210.27,9246.32,8199.58,9161.61,8
Apr-16,9119.91,9565.12,8944.17,9356.16,8
May-16,9384.98,9526.47,8883.99,9321.96,8
Jun-16,9377.6,9752.33,9195.23,9720.95,8
Jul-16,9749.62,10690.7,9737.55,10595.23,8
Aug-16,10676.44,11146.4,10365.09,11072.71,8
Sep-16,11080.46,11572.82,10902.48,11377.55,8
Oct-16,11420.6,12482.72,11400.08,12316.81,8
Nov-16,12334.89,12360.46,11098.28,11964.32,8
Dec-16,12006.09,12179.71,11663.99,12151.64,8
Jan-17,12179.02,13247.21,12167.39,12838.16,8
Feb-17,12919.88,13877.18,12848.2,13534.47,8
Mar-17,13553.46,13644.43,13171.18,13563.63,8
Apr-17,13633.52,14627.61,13592.17,14455.03,8
May-17,14490.31,14746.12,13590.25,14247.08,8
Jun-17,14238.73,14238.73,13096.98,13202.65,8
Jul-17,13263.54,14222.24,13160.77,14189.96,8
Aug-17,14275.04,15291.25,14166.67,15177.26,8
Sep-17,15269.71,15628.98,14365.36,14842.54,8
Oct-17,15016.22,16719.41,14925.96,16552.4,8
Nov-17,16663.91,16727.41,15533.84,15927.91,8
Dec-17,15970.89,16663.81,15593.95,16283.26,8
Jan-18,16322.79,16472.24,15700.9,16368.16,8
Feb-18,16420.56,16516.79,15181.17,15505.76,8
Mar-18,15512.19,15645.95,14243.43,14614.42,8
Apr-18,14666.75,15141.59,14251.89,14429.52,8
May-18,14491.5,14953.28,13300.55,14429.44,8
Jun-18,14444.77,14732.16,13231.56,13659.5,8
Jul-18,13679.48,15094.4,13479.43,15023.57,8
Aug-18,15132.15,15334.74,14731.31,15079.04,8
Sep-18,15169.97,15234.6,14346.76,14855.41,8
Oct-18,14883.19,14996.21,12040.04,13246.92,8
Nov-18,13366.04,14054.68,13189.39,13246.2,8
Dec-18,13247.48,13850.65,12630.46,13748.57,8
Jan-19,13798.43,13827.75,13369.65,13510.67,8
