Month,Open,High,Low,Close,Sector ID
Jan-15,,,,1440.72,10
Feb-15,,,,1391.7,10
Mar-15,,,,1506.91,10
Apr-15,,,,1482.54,10
May-15,,,,1625.93,10
Jun-15,,,,1589.55,10
Jul-15,,,,1602.36,10
Aug-15,,,,1389.6,10
Sep-15,,,,1331.6,10
Oct-15,,,,1376.68,10
Nov-15,,1397.46,,1357.37,10
Dec-15,1367.54,1427.69,1282.24,1424.88,10
Jan-16,1418.65,1434.82,1157.76,1170.38,10
Feb-16,1187.04,1254.76,1162.67,1192.18,10
Mar-16,1191.27,1312.55,1180.16,1290.42,10
Apr-16,1290.35,1398.67,1230.76,1337.31,10
May-16,1339.14,1365.92,1270.63,1297.46,10
Jun-16,1300.48,1347.93,1218.47,1301.77,10
Jul-16,1301.04,1364.66,1269.19,1326.78,10
Aug-16,1328.83,1344.96,1213.86,1226.1,10
Sep-16,1226.34,1233.43,1143.79,1175.63,10
Oct-16,1180.41,1222.9,1138.3,1178.98,10
Nov-16,1183.02,1196.39,1064.66,1193.64,10
Dec-16,1196.81,1211.92,1067.51,1120.64,10
Jan-17,1131.82,1305.15,1104.88,1243.71,10
Feb-17,1245.11,1376.04,1221.16,1291.87,10
Mar-17,1298.67,1313.08,1194.36,1240.67,10
Apr-17,1241.3,1299.84,1213.5,1277.72,10
May-17,1271.74,1344.56,1242.5,1278.56,10
Jun-17,1279.28,1323.8,1263.36,1305.01,10
Jul-17,1312,1488.27,1305.79,1443.64,10
Aug-17,1441.39,1461.33,1371.54,1434.79,10
Sep-17,1437.25,1440.55,1329.81,1363.93,10
Oct-17,1366.5,1683,1337.03,1630.42,10
Nov-17,1667.62,1750.3,1528.5,1565.91,10
Dec-17,1565.91,1683.61,1511.37,1675.03,10
Jan-18,1681.56,1727.97,1459.97,1478.2,10
Feb-18,1472.81,1491.23,1361.76,1434.66,10
Mar-18,1438.15,1448.1,1316.24,1321.9,10
Apr-18,1331.97,1354.26,1280.51,1298.08,10
May-18,1299.01,1304.74,1152.78,1206.09,10
Jun-18,1216.65,1229.72,1141.41,1185.39,10
Jul-18,1186.61,1197.93,1081.53,1189.78,10
Aug-18,1191.83,1208.63,1149.93,1179.55,10
Sep-18,1186.81,1193.15,1018.69,1021.75,10
Oct-18,1033.5,1033.56,915.69,979.83,10
Nov-18,977.9,1056.75,969.37,991.82,10
Dec-18,997.29,1028.67,909.74,988.38,10
Jan-19,995.88,1026.81,980.89,1022.15,10
